Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category
J001,M01,Grinding,3.17,76,11.42,96,3/18/2023 8:00,3/18/2023 9:16,3/18/2023 8:05,3/18/2023 9:21,Completed,Moderate Efficiency
J002,M01,Grinding,3.35,79,6.61,84,3/18/2023 8:10,3/18/2023 9:29,3/18/2023 8:20,3/18/2023 9:39,Delayed,Low Efficiency
J003,M04,Additive,2.29,56,11.11,92,3/18/2023 8:20,3/18/2023 9:16,,,Failed,Low Efficiency
J004,M04,Grinding,1.76,106,12.5,95,3/18/2023 8:30,3/18/2023 10:16,3/18/2023 8:35,3/18/2023 10:21,Completed,Moderate Efficiency
J005,M01,Lathe,1.9,46,8.13,88,3/18/2023 8:40,3/18/2023 9:26,3/18/2023 8:42,3/18/2023 9:28,Completed,High Efficiency
J006,M02,Additive,4.86,100,13.83,86,3/18/2023 8:50,3/18/2023 10:30,3/18/2023 8:53,3/18/2023 10:33,Completed,Moderate Efficiency
J007,M04,Milling,4.67,22,14.2,87,3/18/2023 9:00,3/18/2023 9:22,3/18/2023 9:04,3/18/2023 9:26,Completed,Moderate Efficiency
J008,M05,Grinding,1.57,79,13.86,91,3/18/2023 9:10,3/18/2023 10:29,3/18/2023 9:08,3/18/2023 10:27,Completed,Low Efficiency
J009,M02,Drilling,3.49,42,8.97,81,3/18/2023 9:20,3/18/2023 10:02,3/18/2023 9:23,3/18/2023 10:05,Completed,Moderate Efficiency
J010,M01,Drilling,2.1,27,3.66,97,3/18/2023 9:30,3/18/2023 9:57,3/18/2023 9:54,3/18/2023 10:21,Delayed,Low Efficiency
J011,M01,Lathe,3.02,65,9.98,90,3/18/2023 9:40,3/18/2023 10:45,3/18/2023 9:38,3/18/2023 10:43,Completed,Low Efficiency
J012,M03,Grinding,2.71,28,8.08,88,3/18/2023 9:50,3/18/2023 10:18,3/18/2023 10:15,3/18/2023 10:43,Delayed,Low Efficiency
J013,M03,Lathe,3.1,43,5.55,95,3/18/2023 10:00,3/18/2023 10:43,3/18/2023 10:05,3/18/2023 10:48,Completed,High Efficiency
J014,M04,Additive,2.33,112,2.01,95,3/18/2023 10:10,3/18/2023 12:02,3/18/2023 10:10,3/18/2023 12:02,Completed,Optimal Efficiency
J015,M05,Additive,3.92,104,3.67,98,3/18/2023 10:20,3/18/2023 12:04,3/18/2023 10:24,3/18/2023 12:08,Completed,High Efficiency
J016,M01,Additive,2.09,65,12.29,96,3/18/2023 10:30,3/18/2023 11:35,3/18/2023 10:28,3/18/2023 11:33,Completed,Low Efficiency
J017,M03,Lathe,4.3,115,9.44,80,3/18/2023 10:40,3/18/2023 12:35,3/18/2023 10:37,3/18/2023 12:32,Completed,Low Efficiency
J018,M05,Lathe,2.25,55,10.95,94,3/18/2023 10:50,3/18/2023 11:45,3/18/2023 10:48,3/18/2023 11:43,Completed,Low Efficiency
J019,M02,Milling,4.62,52,3.27,82,3/18/2023 11:00,3/18/2023 11:52,3/18/2023 10:58,3/18/2023 11:50,Completed,Low Efficiency
J020,M05,Lathe,1.39,42,14.19,91,3/18/2023 11:10,3/18/2023 11:52,3/18/2023 11:15,3/18/2023 11:57,Completed,Moderate Efficiency
J021,M02,Milling,3.95,107,13.73,83,3/18/2023 11:20,3/18/2023 13:07,3/18/2023 11:15,3/18/2023 13:02,Completed,Low Efficiency
J022,M03,Additive,3.3,64,4.14,93,3/18/2023 11:30,3/18/2023 12:34,3/18/2023 11:44,3/18/2023 12:48,Delayed,Low Efficiency
J023,M01,Drilling,4.86,98,13.49,89,3/18/2023 11:40,3/18/2023 13:18,3/18/2023 11:35,3/18/2023 13:13,Completed,Low Efficiency
J024,M02,Grinding,1.84,84,8.81,98,3/18/2023 11:50,3/18/2023 13:14,3/18/2023 12:13,3/18/2023 13:37,Delayed,Low Efficiency
J025,M04,Lathe,1.84,119,5.1,82,3/18/2023 12:00,3/18/2023 13:59,,,Failed,Low Efficiency
J026,M01,Additive,1.14,21,3.89,97,3/18/2023 12:10,3/18/2023 12:31,3/18/2023 12:10,3/18/2023 12:31,Completed,High Efficiency
J027,M03,Lathe,4.03,87,11.34,80,3/18/2023 12:20,3/18/2023 13:47,,,Failed,Low Efficiency
J028,M03,Milling,3.21,93,4.16,98,3/18/2023 12:30,3/18/2023 14:03,3/18/2023 12:28,3/18/2023 14:01,Completed,Low Efficiency
J029,M02,Milling,3.47,116,5.39,91,3/18/2023 12:40,3/18/2023 14:36,3/18/2023 12:39,3/18/2023 14:35,Completed,Low Efficiency
J030,M05,Grinding,4.62,66,10.36,89,3/18/2023 12:50,3/18/2023 13:56,3/18/2023 12:51,3/18/2023 13:57,Completed,Moderate Efficiency
J031,M03,Grinding,1.7,37,3.21,96,3/18/2023 13:00,3/18/2023 13:37,3/18/2023 13:02,3/18/2023 13:39,Completed,High Efficiency
J032,M03,Drilling,3.02,78,4.93,80,3/18/2023 13:10,3/18/2023 14:28,3/18/2023 13:13,3/18/2023 14:31,Completed,High Efficiency
J033,M04,Lathe,3.7,103,8.02,80,3/18/2023 13:20,3/18/2023 15:03,3/18/2023 13:33,3/18/2023 15:16,Delayed,Low Efficiency
J034,M01,Grinding,1.47,110,12.52,86,3/18/2023 13:30,3/18/2023 15:20,3/18/2023 13:54,3/18/2023 15:44,Delayed,Low Efficiency
J035,M02,Drilling,2.05,47,12.12,82,3/18/2023 13:40,3/18/2023 14:27,3/18/2023 13:41,3/18/2023 14:28,Completed,Moderate Efficiency
J036,M04,Additive,1.76,99,4.72,96,3/18/2023 13:50,3/18/2023 15:29,3/18/2023 13:47,3/18/2023 15:26,Completed,Low Efficiency
